Engere Wahl des Bürgermeisters Landeshauptstadt Innsbruck 2024, 28.04.2024 (Bericht wurde generiert am 28.04.2024 um 17:34)
Bezirk_Id;Bezirk;Gemeinde_Id;Gemeinde;Sprengel_Nr;Wahlberechtigte;Abgegebene Stimmen;Wahlbeteiligung;Gültige Stimmen;Ungültige Stimmen;Nr./Kandidat1;Name/Kandidat1;Stimmen/Kandidat1;Prozente/Kandidat1;BGM/Kandidat1;Nr./Kandidat2;Name/Kandidat2;Stimmen/Kandidat2;Prozente/Kandidat2;BGM/Kandidat2;
701;Innsbruck-Stadt;70101;Innsbruck;133;;237;;234;3;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);40;17,09;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);194;82,91;;
701;Innsbruck-Stadt;70101;Innsbruck;140;;410;;405;5;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);95;23,46;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);310;76,54;;
701;Innsbruck-Stadt;70101;Innsbruck;150;;267;;263;4;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);105;39,92;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);158;60,08;;
701;Innsbruck-Stadt;70101;Innsbruck;151;;253;;251;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);64;25,50;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);187;74,50;;
701;Innsbruck-Stadt;70101;Innsbruck;200;;304;;302;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);129;42,72;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);173;57,28;;
701;Innsbruck-Stadt;70101;Innsbruck;201;;228;;227;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);83;36,56;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);144;63,44;;
701;Innsbruck-Stadt;70101;Innsbruck;202;;237;;237;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);74;31,22;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);163;68,78;;
701;Innsbruck-Stadt;70101;Innsbruck;203;;223;;222;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);40;18,02;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);182;81,98;;
701;Innsbruck-Stadt;70101;Innsbruck;210;;334;;330;4;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);132;40,00;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);198;60,00;;
701;Innsbruck-Stadt;70101;Innsbruck;211;;273;;273;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);142;52,01;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);131;47,99;;
701;Innsbruck-Stadt;70101;Innsbruck;212;;231;;230;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);86;37,39;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);144;62,61;;
701;Innsbruck-Stadt;70101;Innsbruck;213;;130;;130;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);16;12,31;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);114;87,69;;
701;Innsbruck-Stadt;70101;Innsbruck;214;;278;;278;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);136;48,92;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);142;51,08;;
701;Innsbruck-Stadt;70101;Innsbruck;215;;256;;252;4;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);96;38,10;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);156;61,90;;
701;Innsbruck-Stadt;70101;Innsbruck;220;;175;;174;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);55;31,61;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);119;68,39;;
701;Innsbruck-Stadt;70101;Innsbruck;221;;197;;197;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);48;24,37;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);149;75,63;;
701;Innsbruck-Stadt;70101;Innsbruck;222;;390;;388;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);117;30,15;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);271;69,85;;
701;Innsbruck-Stadt;70101;Innsbruck;223;;365;;364;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);86;23,63;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);278;76,37;;
701;Innsbruck-Stadt;70101;Innsbruck;230;;255;;252;3;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);97;38,49;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);155;61,51;;
