Sprengel_Nr,Georg Willi - Die Innsbrucker Grünen - GRÜNE,FPÖ - Rudi Federspiel - FPÖ,"Florian Tursky - Das Neue Innsbruck (Für Innsbruck, Volkspartei, Senioren) - TURSKY",NEOS Innsbruck - NEOS,Liste Fritz - Bürgerforum Tirol - FRITZ,Liste Gerald Depaoli - Gerechtes Innsbruck - Die Unbestechlichen - GERECHT,Alternative Liste Innsbruck - Mesut Onay - ALI,Sozialdemokratische Partei Österreichs - SPÖ,EINIG Innsbruck - Liste Helmut Reichholf - EINIG,JA - Jetzt Innsbruck - Johannes Anzengruber - JA,TUN - Transparente Unabhängige Neue Gesellschaft - TUN,Die Unabhängigen - Innsbruck - DU-I,Kommunistische Partei Österreich (KPÖ) - KPÖ,Gewinner
264,5.51,21.32,16.91,1.47,7.72,5.51,2.57,18.01,0.0,16.18,0.37,0.37,4.04,FPÖ - Rudi Federspiel - FPÖ
265,11.14,23.49,11.45,1.2,3.31,5.42,2.71,19.88,0.0,12.35,0.3,0.3,8.43,FPÖ - Rudi Federspiel - FPÖ
300,24.64,8.94,11.84,4.59,5.56,3.14,5.56,12.56,0.48,19.32,0.0,0.0,3.38,Georg Willi - Die Innsbrucker Grünen - GRÜNE
301,18.69,16.2,5.92,4.36,3.12,6.85,5.92,9.03,0.0,22.43,0.62,0.0,6.85,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
302,19.65,10.21,10.6,4.24,3.85,4.05,5.78,12.72,0.39,21.97,0.77,0.0,5.78,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
303,26.25,11.81,13.39,3.67,4.99,3.41,3.41,12.07,0.52,13.65,0.79,0.52,5.51,Georg Willi - Die Innsbrucker Grünen - GRÜNE
304,27.03,7.21,15.99,4.05,6.53,1.35,8.56,9.68,0.23,13.74,0.23,0.23,5.18,Georg Willi - Die Innsbrucker Grünen - GRÜNE
305,27.94,8.87,10.2,4.66,5.32,3.33,6.87,11.53,0.89,13.75,0.22,0.67,5.76,Georg Willi - Die Innsbrucker Grünen - GRÜNE
306,28.87,10.46,9.62,4.18,5.02,2.51,5.86,12.97,0.84,12.13,0.0,0.0,7.53,Georg Willi - Die Innsbrucker Grünen - GRÜNE
307,26.32,14.47,10.86,3.95,4.28,0.66,5.26,14.47,0.33,11.84,0.33,0.0,7.24,Georg Willi - Die Innsbrucker Grünen - GRÜNE
