Sprengel_Nr,Georg Willi,Markus Lassenberger,Florian Tursky,Julia Seidl,Andrea Haselwanter-Schneider,Gerald Depaoli,Mesut Onay,Elisabeth Mayr Maga,Helmut Reichholf,Johannes Anzengruber,Christian Franz Veber,Helmut Buchacher,Pia Tomedi,Gewinner
633,4.56,38.4,12.17,1.52,8.75,2.66,1.14,9.89,0.38,14.07,0.0,0.38,6.08,Markus Lassenberger
634,10.71,22.77,13.84,0.89,3.57,3.13,0.45,11.16,0.0,29.02,0.45,0.45,3.57,Johannes Anzengruber
635,2.84,36.65,9.66,0.57,5.68,7.67,1.14,13.92,0.28,18.75,0.0,0.57,2.27,Markus Lassenberger
700,16.42,8.21,10.45,1.49,5.22,1.87,2.61,11.19,0.75,38.06,0.75,0.0,2.99,Johannes Anzengruber
800,23.68,12.44,12.68,2.39,5.98,0.24,0.96,13.88,0.72,25.12,0.96,0.0,0.96,Johannes Anzengruber
801,21.13,7.74,17.56,1.19,8.93,0.89,0.89,15.48,0.0,23.81,0.3,0.3,1.79,Johannes Anzengruber
802,14.62,13.05,11.23,2.09,5.74,0.26,0.52,16.45,0.0,33.16,0.26,0.0,2.61,Johannes Anzengruber
901,36.23,10.14,13.04,0.0,5.8,0.0,4.35,13.04,0.0,14.49,0.0,1.45,1.45,Georg Willi
902,31.33,6.02,18.07,2.41,6.02,0.0,1.2,14.46,0.0,19.28,0.0,1.2,0.0,Georg Willi
903,34.78,4.35,24.64,0.0,11.59,1.45,1.45,11.59,0.0,10.14,0.0,0.0,0.0,Georg Willi
904,28.57,8.73,29.37,3.97,2.38,1.59,0.0,11.9,0.0,12.7,0.0,0.0,0.79,Florian Tursky
905,15.87,22.22,19.05,0.0,9.52,0.0,0.0,15.87,1.59,14.29,0.0,0.0,1.59,Markus Lassenberger
930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Georg Willi
